date,tweet,hashtags
2020-10-09,"The latest CDC #COVIDView report shows that the overall percentage of people testing positive for #COVID19 decreased nationally last week, but percentages increased slightly in children ages 5 – 17 and adults 65 and older: https://t.co/zP4VYlo0Pb. https://t.co/WpP0I9HAPE","['covidview', 'covid19']"
2020-10-09,"Young adults have several factors influencing their risk of being exposed to #COVID19, including perceived low severity of disease outcome and exposure to conflicting messages about the need for and effectiveness of masks, according to new @CDCMMWR. https://t.co/1mNNDrbLCi https://t.co/8hf2F70bZH",['covid19']
2020-10-09,"A @CDCMMWR finds percentage of positive #COVID19 tests in hotspot counties went up first in younger adults, then in older adults who may be at higher risk. The report highlights the need to reduce the spread of #COVID19 among younger adults. More:  https://t.co/8SeuXphsOk. https://t.co/qmsE0DVU9d","['covid19', 'covid19']"
2020-10-09,"As of October 5, national forecasts predict 2,800 to 6,800 new #COVID19 deaths will be reported during the week ending October 31. These forecasts predict 224,000 to 233,000 total COVID-19 deaths in the United States by October 31. More: https://t.co/Ft6cgmaMPX. https://t.co/d3nFQA3Ne7",['covid19']
2020-10-09,"Public Health Professionals: Looking for more contact tracing resources? Check out https://t.co/wRf8gtHBSJ.
#PublicHealth #SlowtheSpread https://t.co/awERdoBmk2","['publichealth', 'slowthespread']"
2020-10-08,"Among people exposed to #COVID19 in their home, children were infected at similar rates as adults but developed less severe illness. Protect your community. Wear a mask. Stay 6 feet from others. Wash your hands. Learn more: https://t.co/edPyoB9n8V. https://t.co/hy0ECZE0wv",['covid19']
2020-10-08,A10: You can also find #COVID19 videos to share via YouTube or download here: https://t.co/QV0OPdgAO6. #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,A10: We invite everyone to share #COVID19 social media messages in English and Spanish. You can find the Spanish-language social media toolkit here: https://t.co/vJZTJk4I1k. #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,A10: Much of CDC’s #COVID19 website is available in Spanish as well as other languages. https://t.co/4NwUnrFoNO #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,"A9: To end the #COVID19 pandemic, we need everyone to do their part. When we communicate and interact in ways that demonstrate respect for language and culture, we promote understanding and cooperation and decrease stigma. #HealthyLatinos","['covid19', 'healthylatinos']"
2020-10-08,"A4: Hispanic or Latino people can continue to wear masks in public, wash hands often, and stay 6 feet from others. Learn more about how to protect yourself and others: https://t.co/YhhcsdNb11. #HealthyLatinos",['healthylatinos']
2020-10-08,A3: This video explains what’s on the #COVID19 community testing form so community members would better understand what information is collected during testing. https://t.co/tksHkiKO5R #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,A3: This video shows the gear that #COVID19 testers wear for protection when performing tests so community members understand what to expect. https://t.co/J7XlfrdEmL. #HealthyLatinos,"['covid19', 'healthylatinos']"
