date,tweet,hashtags
2020-10-09,"You can help provide valuable information to track the #flu and #COVID19 across 🇨🇦. The more participants, the better our data. Sign up today: https://t.co/t64SrO1Wvk https://t.co/1mzVjMu0AR","['flu', 'covid19']"
2020-10-09,"#PrinceEdwardIsland - keep your community safe by downloading the #COVIDAlert app. You will receive an alert if you've been exposed to #COVID19. 
Available on Apple: https://t.co/UCmzugS2lR
and Android: https://t.co/JgHnLO9Ueh https://t.co/w6dbP6t7YM","['princeedwardisland', 'covidalert', 'covid19']"
2020-10-09,"The #COVIDAlert app is now available in #Quebec. Users who test positive for #COVID19 can notify those they may have come in contact with.
Apple: https://t.co/j3chDsjpHy
Android: https://t.co/hxOdwJw3GS https://t.co/VlkwqysVQx","['covidalert', 'quebec', 'covid19']"
2020-10-09,#FluWatchers normally tracks the #flu. But we are also using this volunteer program to track #COVID19. Sign up today! https://t.co/OgtkOtjY7T https://t.co/xEgCXxC3Ap,"['fluwatchers', 'flu', 'covid19']"
2020-10-09,"With our kids back to school, you can help prevent the spread of #COVID19 and track your physical and mental health with these great apps: 
https://t.co/uZjTLKiQlE
#BackToSchool2020 https://t.co/0S95NBhRnW","['covid19', 'backtoschool2020']"
2020-10-09,"#COVIDAlertFact: Unless we work together to slow the spread of #COVID19, the situation is on track for a big resurgence in several provinces. You can help contain the virus by downloading the #COVIDAlert app: https://t.co/hBgPF8FnHA https://t.co/feC6PXx2ZY","['covidalertfact', 'covid19', 'covidalert']"
2020-10-08,"4 million Canadians have downloaded the #COVIDAlert app. 📱 How fast can we get to 5 million? Download it today: https://t.co/fzxaMSbCpO
#COVID19 https://t.co/4cuBuj74Bn","['covidalert', 'covid19']"
2020-10-08,"The #COVIDAlert app has launched in #PrinceEdwardIsland. The app will notify you if you’ve recently been exposed #COVID19.
Download it today:
Apple: https://t.co/2mDEfhTLoC
Android: https://t.co/tw0mE95NvQ https://t.co/2iDLW6iulf","['covidalert', 'princeedwardisland', 'covid19']"
2020-10-08,"Do you have a #mask? Choosing a reusable mask rather than a disposable one is better for the #environment and can help you reduce the spread of #COVID19. Buy one or make your own. It’s easy! More:
https://t.co/RMx8zxKKvj https://t.co/XTBFlgXJuQ","['mask', 'environment', 'covid19']"
2020-10-08,Thanksgiving is a time for family and a time for thanks. Enjoy time with your in-person bubble this holiday. Help limit the spread of #COVID19 and keep each other safe. https://t.co/OtklgRSzLx https://t.co/E8dkrYd1v1,['covid19']
2020-10-08,"#COVIDAlertFact: ✔️ The app is compatible with 92% of phones in use in Canada.  It’s easy to use and install. As it becomes available in your region, it’s one of the many things you can do to help slow the spread of #COVID19: https://t.co/2ex4Z48XFr https://t.co/HQE0A5YwR3","['covidalertfact', 'covid19']"
2020-10-07,"The #COVIDAlert app now has over 3.9 million downloads, 6 provinces on board and 984 one-time keys entered. Find out more about the app usage:
https://t.co/qxhmy0bX7v
#COVID19 https://t.co/IF76wr2MO1","['covidalert', 'covid19']"
2020-10-07,#COVIDAlertFact: ✔️ The app only detects if you’ve had contact with someone who’s reported positive to the app. It doesn’t track any personal info or location. Help slow the spread of #COVID19: https://t.co/K7x517I65S https://t.co/RnRsHZ1LiC,"['covidalertfact', 'covid19']"
