date,tweet,hashtags
2020-10-09,"Chief electoral officer must first recommend postponing by election before PM can act, says Elections Canada. https://t.co/5vaz5j2FE5",[]
2020-10-09,"Broadway shows are one of New York City’s largest tourist attractions, bringing in an estimated $1.8 billion US in ticket sales last year alone. https://t.co/s0u0Z4tpNS",[]
2020-10-09,"The money will be used to bury canals, expand storage, and add 208,000 acres of irrigable land. https://t.co/QIM8dulXCJ",[]
2020-10-09,"The lawsuit filed in Montreal seeks $1 million in punitive damages and $50,000 in moral damages. https://t.co/KNz3zmpjzX",[]
2020-10-09,The federal government has committed $68.4 million over three years to fight the pest. https://t.co/cXSgdqE80l,[]
2020-10-09,Some companies offered hero pay to essential workers at the outset of the pandemic but most wage premiums ended as the first wave ebbed. https://t.co/XLWuNN9xTe,[]
2020-10-09,Wallen was removed as the musical guest after TikTok videos showed him partying last weekend without a mask on among a group of people in Alabama. https://t.co/J2pzrKCrz3,[]
2020-10-09,"Residents in those zones will need to stay within two-household bubbles, says New Brunswick Premier Blaine Higgs. https://t.co/9Pg86Dkfir",[]
2020-10-09,Retired dentist leads suit against fees he says wasted tens of millions of dollars. https://t.co/8Vo89HOwSI,[]
2020-10-09,NDP Leader Jagmeet Singh and Green Party Leader Annamie Paul are less than enthusiastic about the idea of a one-time alliance between their two parties in the next election. https://t.co/jhDBV4pVqN,[]
2020-10-09,"On the same Saskatoon field where she spent hours as a young girl watching her older brothers practise, Emmarae Dale put on her cleats, heaved on her shoulder pads, snapped on her helmet and made history. https://t.co/kIHHgD0PyH @Devin_Heroux",[]
2020-10-09,"Canada's economy added 378,000 new jobs in September, Statistics Canada says, almost all of which were full-time positions. https://t.co/DELdXvsgtd",[]
2020-10-09,"As many as 171 nations have joined the WHO's COVAX program to back equitable access to COVID-19 vaccines for rich and poor countries alike.
The U.S. and Russia have not. https://t.co/NIbopz04Rl",[]
2020-10-09,"The B.C. Supreme Court has upheld a ruling that says wearing earbuds in both ears while driving — even if they're connected to a dead phone — constitutes distracted driving.
Drivers can only wear one earbud. https://t.co/PoLEkWJ2Yn @alexem",[]
2020-10-09,"While immigration is a significant issue for many U.S. voters, the policies laid out by Donald Trump and Joe Biden could also have ramifications for Canada. https://t.co/nw5GyGcf77 @markgollom",[]
2020-10-09,Chief Public Health Officer Theresa Tam says it's vital that Canadians limit their contacts and deny the coronavirus opportunities to spread. https://t.co/L4yn67urks @OttawaReporter,[]
2020-10-09,The federal government says targeted aid is coming for some businesses hit by closures as a second wave of COVID-19 hits parts of the country. https://t.co/xWV2cjf7Sd,[]
2020-10-09,"Quebec's Indigenous affairs minister, Sylvie D'Amours, has been removed from her post.
She is to be replaced by Ian Lafrenière, a former high-ranking member of the Montreal police. https://t.co/01IZMdFSpE",[]
2020-10-09,"COVID-19 update: Trudeau, public health officials address Canadians https://t.co/5ShEFJJlyv",[]
2020-10-09,The COVID-19 pandemic has sped up innovation as farmers spend more time with digital tools and programs. https://t.co/nC3rgQnxkx @KyleBakx,[]
2020-10-09,A judge has upheld the majority of Canada's privilege claims over documents sought by lawyers for Meng Wanzhou. https://t.co/qqErotxB3q,[]
2020-10-09,"Many people have been looking to Canada’s East Coast with envy as its number of COVID-19 cases remains low. 
Some aren't just looking. 
They're moving to the Atlantic bubble permanently. https://t.co/nVjsnn3fxv @AnjuliCBC",[]
2020-10-09,"Donald Trump said late on Thursday he was feeling ""really good,"" and with a doctor's blessing, aimed to campaign in Florida on Saturday and in Pennsylvania on Sunday. https://t.co/QNPNEzJ4aZ",[]
2020-10-09,"Hurricane Delta is the 25th named storm of an unprecedented Atlantic hurricane season.
It marks the sixth time this season that Louisiana has been threatened by tropical storms or hurricanes. https://t.co/8L2v67tMdF",[]
2020-10-09,Prominent Russian state TV host Dmitry Kiselyov talks to CBC News about what's at stake in the U.S. election for Russia — and what it's like to be the only journalist on Canada's Russia sanctions list. https://t.co/HL8WQZTKvK @CBCChrisBrown,[]
2020-10-09,Ontario Premier Doug Ford's cabinet is expected to hold an emergency meeting to consider tighter measures to try to contain the spread of the coronavirus. https://t.co/sNsLpzpPop @CBCQueensPark,[]
2020-10-09,"""We should be really cautious about just switching from one single-use lifestyle to another."" https://t.co/UhBsfbmaqt @markgollom",[]
2020-10-09,Joe Biden's lead over Donald Trump is now the widest it has been since he became the Democratic nominee. https://t.co/JA6sXlIjC4 @EricGrenierCBC,[]
2020-10-09,Alberta Energy Minister says a report predicting change in the world's demand for oil isn't a big concern. https://t.co/EEACeVKzSh,[]
2020-10-09,A new daily increase in COVID-19 patients admitted into critical care this week is a spike not seen in Ontario since June. https://t.co/ThowihJyQ0 @LaurenPelley,[]
2020-10-09,"Economic impact includes reduced registration, bar sales, and facility rentals. https://t.co/A5Gs6jG5uv",[]
2020-10-09,"True Leaf is seeking creditor protection in an effort to avoid bankruptcy just two years after spending $25 million to buy land and build a processing plant in Lumby, B.C. https://t.co/IC4IuR6wLi",[]
2020-10-09,"""We saw a lot of potential in Maggie. It was really that mental stimulation that she needed."" https://t.co/aRC1uXFSHt",[]
2020-10-09,Jakob was worried about the monsters under his bed and having a hard time sleeping at night. His mother and a local pharmacist had just the solution. https://t.co/4zTOibCqPh,[]
2020-10-09,"Pools and facilities are built specifically for the sport, and there are eight in Canada.
https://t.co/Wq8eqNpKmA",[]
2020-10-09,Be cautious when foraging for mushrooms because eating the death cap mushroom can lead to serious illness and even death. https://t.co/CAgw4K0zON,[]
2020-10-09,"Kris Zemlak and Gordon Petrie reunited in Surrey, B.C. after not seeing each other for 22 years. https://t.co/BD1d0eBCfr",[]
2020-10-09,B.C. announced 110 new cases along with 1 additional death from the disease. https://t.co/AyCuU1VS39,[]
2020-10-08,"Dozens injured after a fire spread through a high-rise apartment building in Ulsan, South Korea. https://t.co/fEeFLkfj3D",[]
2020-10-08,Experimental treatments aim to help the immune system clear the virus. https://t.co/IoP0MDnlRS,[]
