id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1317197884127936514,1317197881691045890,2020-10-16 17:17:02 Atlantic Daylight Time,2020-10-16,17:17:02,-0300,36375825,govcanhealth,Health Canada and PHAC,,"(3/3) There are 138 analytical testing licence holders in Canada. #CDNCannabisReg 
https://t.co/2MMwRXM6FJ",en,[],['http://ow.ly/VAZB50BUONt'],[],0,1,0,['cdncannabisreg'],[],https://twitter.com/GovCanHealth/status/1317197884127936514,,,0,,,,,,,,"{'user_id': '36375825', 'username': 'GovCanHealth'}",,,,
1317197883184218113,1317197881691045890,2020-10-16 17:17:02 Atlantic Daylight Time,2020-10-16,17:17:02,-0300,36375825,govcanhealth,Health Canada and PHAC,,"(2/3) This week, we issued 1 new research licence. We have issued a total of 360 #cannabis research licences in Canada. #CDNCannabisReg",en,[],[],[],1,1,0,"['cannabis', 'cdncannabisreg']",[],https://twitter.com/GovCanHealth/status/1317197883184218113,,,0,,,,,,,,"{'user_id': '36375825', 'username': 'GovCanHealth'}",,,,
1317197881691045890,1317197881691045890,2020-10-16 17:17:02 Atlantic Daylight Time,2020-10-16,17:17:02,-0300,36375825,govcanhealth,Health Canada and PHAC,,"(1/3) There are now 514 #CannabisLicence holders in Canada. This week, we approved 9 new licence holders, 6 of which are micro-licences. #CDNCannabisReg 
https://t.co/5scM9LWrrm https://t.co/IXmQ8TNoN2",en,[],['http://ow.ly/4sTA50BUOMe'],['https://pbs.twimg.com/media/EkegMlZWMAAIy_X.jpg'],4,3,10,"['cannabislicence', 'cdncannabisreg']",[],https://twitter.com/GovCanHealth/status/1317197881691045890,,,1,https://pbs.twimg.com/media/EkegMlZWMAAIy_X.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317193690520182784,1317193690520182784,2020-10-16 17:00:22 Atlantic Daylight Time,2020-10-16,17:00:22,-0300,36375825,govcanhealth,Health Canada and PHAC,,"How should care providers and health professionals promote lifelong physical activity in individuals with depression?

Find out in the latest issue of the #HPCDP Journal, available now.

Learn more: https://t.co/46ZRfiRDA8 https://t.co/arPiolP2uu",en,[],['http://Canada.ca/hpcdp'],['https://pbs.twimg.com/media/EkecrlDWMAEZMvs.jpg'],0,3,5,['hpcdp'],[],https://twitter.com/GovCanHealth/status/1317193690520182784,,,1,https://pbs.twimg.com/media/EkecrlDWMAEZMvs.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317163969468039168,1317163969468039168,2020-10-16 15:02:16 Atlantic Daylight Time,2020-10-16,15:02:16,-0300,36375825,govcanhealth,Health Canada and PHAC,,#Ticks are active anytime the temperature is above freezing.  Check off all the boxes to protect you and your family from tick bites. Learn more: https://t.co/NKXISkxgwV #TickSmart https://t.co/ke9K9MFIfA,en,[],['http://ow.ly/ARRT50BLdFw'],['https://pbs.twimg.com/tweet_video_thumb/EkeBpmlXEAoGH0B.jpg'],0,5,8,"['ticks', 'ticksmart']",[],https://twitter.com/GovCanHealth/status/1317163969468039168,,,1,https://pbs.twimg.com/tweet_video_thumb/EkeBpmlXEAoGH0B.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317133615067783169,1317133615067783169,2020-10-16 13:01:39 Atlantic Daylight Time,2020-10-16,13:01:39,-0300,36375825,govcanhealth,Health Canada and PHAC,,"Canada's national exposure app #COVIDAlert is available in #NovaScotia. Contain the spread, download it today:
Apple: https://t.co/BhXZRWxIR3 
Android: https://t.co/v02bbj1ril https://t.co/pRNSDOptkI",en,[],"['http://ow.ly/KfoS50BSGG9', 'http://ow.ly/89f650BSGGa']",['https://pbs.twimg.com/media/EkdmCuhX0AIsWkI.jpg'],0,7,12,"['covidalert', 'novascotia']",[],https://twitter.com/GovCanHealth/status/1317133615067783169,,,1,https://pbs.twimg.com/media/EkdmCuhX0AIsWkI.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317118832859897857,1317118832859897857,2020-10-16 12:02:55 Atlantic Daylight Time,2020-10-16,12:02:55,-0300,36375825,govcanhealth,Health Canada and PHAC,,"#HomeCanning is a fall favourite, but novices should beware! If home canned foods aren’t prepared or stored properly they can cause #Botulism, a sometimes serious and fatal illness. Learn more:  https://t.co/5uoZItrdVV https://t.co/QTGIMKJlKM",en,[],['http://ow.ly/e6XC50BNAse'],['https://pbs.twimg.com/media/EkdYmQiXIAAtRam.jpg'],0,1,7,"['homecanning', 'botulism']",[],https://twitter.com/GovCanHealth/status/1317118832859897857,,,1,https://pbs.twimg.com/media/EkdYmQiXIAAtRam.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317095487145693194,1317095487145693194,2020-10-16 10:30:09 Atlantic Daylight Time,2020-10-16,10:30:09,-0300,36375825,govcanhealth,Health Canada and PHAC,,"The Government of Canada provides $1.4M for an #Ottawa project to reduce harms associated with the toxic illegal drug supply during #COVID19, providing people at risk of overdose pharmaceutical-grade medication as a safer alternative. 
https://t.co/CwGxA5lm7V https://t.co/ng2SLWf0GE",en,[],['http://ow.ly/V6Lk50BTLLb'],['https://pbs.twimg.com/media/EkdDXaLX0AAQHuP.jpg'],0,1,10,"['ottawa', 'covid19']",[],https://twitter.com/GovCanHealth/status/1317095487145693194,,,1,https://pbs.twimg.com/media/EkdDXaLX0AAQHuP.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317088295160086528,1317088295160086528,2020-10-16 10:01:34 Atlantic Daylight Time,2020-10-16,10:01:34,-0300,36375825,govcanhealth,Health Canada and PHAC,,"Travelling to Canada? 🚗 🚢✈
Go paperless and submit your #COVID19 info via the #ArriveCAN app or website within 48 hrs prior to arrival at the border.
•Save time at the border.
•Limit points of contact. 

Download here: https://t.co/O2cskgmlLk https://t.co/oe91JnuHgw",en,[],['http://ow.ly/R4lr50BSClk'],['https://pbs.twimg.com/media/Ekc80wJWkAIWZTY.jpg'],0,10,13,"['covid19', 'arrivecan']",[],https://twitter.com/GovCanHealth/status/1317088295160086528,,,1,https://pbs.twimg.com/media/Ekc80wJWkAIWZTY.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317072993491746817,1317072993491746817,2020-10-16 09:00:46 Atlantic Daylight Time,2020-10-16,09:00:46,-0300,36375825,govcanhealth,Health Canada and PHAC,,"Did you know that there is an interactive, online data tool containing national #perinatal health surveillance data? The new data tool has key indicators of maternal, fetal and infant health. Learn more here: https://t.co/iLaZrmwQHQ
#pregnancy https://t.co/gzCwar8lLp",en,[],['http://ow.ly/8XVg50BTKbx'],['https://pbs.twimg.com/media/Ekcu6DMWMAEZmf3.jpg'],0,5,8,"['perinatal', 'pregnancy']",[],https://twitter.com/GovCanHealth/status/1317072993491746817,,,1,https://pbs.twimg.com/media/Ekcu6DMWMAEZmf3.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
